date,open,high,low,close,volume,symbol,source
2024-11-12,594.883,595.489,590.601,593.114,43280608,SPY.US,stooq
2024-11-13,593.582,595.429,591.187,593.402,47691091,SPY.US,stooq
2024-11-14,593.532,594.019,588.891,589.587,39152409,SPY.US,stooq
2024-11-15,585.98,586.457,580.157,582.036,76473754,SPY.US,stooq
2024-11-18,582.502,585.751,581.628,584.42,37320765,SPY.US,stooq
2024-11-19,581.002,587.297,580.326,586.556,49727411,SPY.US,stooq
2024-11-20,586.636,587.044,580.922,586.755,50351902,SPY.US,stooq
2024-11-21,589.637,591.346,583.725,589.905,47048662,SPY.US,stooq
2024-11-22,589.895,592.37,589.39,591.733,38470364,SPY.US,stooq
2024-11-25,595.717,597.049,591.425,593.74,42712269,SPY.US,stooq
2024-11-26,595.003,597.516,594.277,596.841,45912459,SPY.US,stooq
2024-11-27,596.652,597.039,593.492,595.033,34217164,SPY.US,stooq
2024-11-29,595.857,599.524,595.579,598.728,30369953,SPY.US,stooq
2024-12-02,599.146,600.487,598.65,599.802,31948603,SPY.US,stooq
2024-12-03,599.563,600.329,598.521,600.08,27078356,SPY.US,stooq
2024-12-04,601.789,604.054,601.113,603.806,43060646,SPY.US,stooq
2024-12-05,603.806,604.621,602.46,602.812,28945753,SPY.US,stooq
2024-12-06,603.588,605.207,603.17,603.956,31440944,SPY.US,stooq
2024-12-09,603.836,604.005,600.249,600.845,34964478,SPY.US,stooq
2024-12-10,601.531,601.958,598.312,598.977,37472159,SPY.US,stooq
2024-12-11,601.938,604.577,601.66,603.608,28860754,SPY.US,stooq
2024-12-12,602.733,603.31,600.497,600.497,31745136,SPY.US,stooq
2024-12-13,602.554,603.28,598.987,600.378,36133887,SPY.US,stooq
2024-12-16,602.157,603.925,601.371,602.942,43974057,SPY.US,stooq
2024-12-17,600.359,601.332,599.061,600.457,56129512,SPY.US,stooq
2024-12-18,600.149,602.559,582.174,582.562,108939612,SPY.US,stooq
2024-12-19,587.61,589.239,582.134,582.383,86467821,SPY.US,stooq
2024-12-20,580.026,593.964,579.168,589.378,126094748,SPY.US,stooq
2024-12-23,589.118,593.515,585.899,592.907,57809159,SPY.US,stooq
